code,name,description,nitRestaurant,price
59091-2001,Shay Cawdron,Hrt/pericar dx proc NEC,270-99-1630,28.21
66184-125,Jerad Hanway,Destruct peritoneal tiss,814-96-5930,27.49
63029-276,Bobbette Davydochkin,Partial ostectomy NEC,326-79-2635,75.14
52125-376,Davide Vallance,Injection into tendon,153-84-7304,41.74
47918-840,Cullan Jovasevic,Salpingostomy,134-86-7560,98.48
66184-460,Lenette Durbin,Lower limb artery incis,696-66-0625,58.92
58633-231,Raddy Ricciardello,Dental scaling & debride,673-98-4388,89.04
54868-5648,Meredithe Burdin,Excis cyst duct remnant,715-88-0275,36.63
0904-6053,Arne Jedrysik,Anal incision NEC,113-41-8704,33.99
10237-708,Cymbre Dixcee,Mech vitrectomy NEC,876-51-4144,77.42
41167-0965,Aida Spain-Gower,Lap bil ing hern-grf NOS,551-41-2854,91.79
49288-0486,Ingeborg Alker,C & s-lymph system,295-29-7664,56.27
64127-154,Berta MacNelly,Radical orbitomaxillect,574-54-6542,49.45
76439-309,Randi Suston,Appl ext fix dev-patella,798-67-9839,94.42
52125-424,Chadwick Blight,Arthrocentesis,586-09-5993,76.94
44523-535,Saunderson Tiffney,Larynx cyst marsupializ,783-90-0252,77.12
33261-087,Gus Stroud,Impedance phlebogram,673-77-3110,97.37
52125-198,Luciana Hainning,Wound irrigation NEC,741-12-1708,35.03
65044-3510,Thalia Deschlein,Uvula and soft palate bx,337-62-0172,20.22
11523-7160,Darryl Kittless,Open reduct maxillary fx,890-58-2201,70.88
58836-0973,Noby Mantle,Detach retina-cryotherap,190-10-9568,99.25
68001-163,Konstantine Ebden,Oth transmyo revascular,722-54-8051,47.13
53808-0894,Shannon Dax,Ocular prosthetics,520-49-2251,88.65
66658-105,Hannie Vicary,Tot rep truncus arterios,313-91-8868,47.14
20802-1502,Kaitlin Lampens,Arthroplasty carpal w/o,884-85-8097,82.48
68084-054,Estevan Wyllie,Partial nephrectomy,625-51-0476,71.56
10096-0259,Genvieve Shutte,Lacrim sac/passage excis,497-06-3004,62.98
76237-252,Kally Cuseick,Head/neck ves resec-repl,177-43-1408,70.45
49035-183,Dru Silly,Fit below knee prosthes,267-82-4969,67.09
67457-280,Constantina McLachlan,Inser temp pacemaker sys,490-15-7490,11.82
64616-109,Tomasine Raeburn,Rectal packing,134-27-8905,77.68
50436-0157,Barde Gebhard,CAS w fluoroscopy,415-50-3721,86.12
13310-145,Tony DelaField,Electrocardiogram,683-67-3810,44.06
57469-030,Mathilda Laddle,Loc exc bone les patella,694-91-8102,80.56
76126-049,Richardo Van Der Hoog,Lacrimal sac biopsy,306-36-3185,67.29
52125-912,Adda Stenett,Surg tooth extract NEC,313-41-5504,49.73
55111-557,Laurel Hakking,Radical prostatectomy,498-08-4248,23.20
0310-0131,Ronalda Marcone,Implt/repl carddefib tot,828-59-9166,38.54
0220-9068,Judon Filimore,Impl cardiac support dev,424-06-4520,5.35
69106-050,Leela Tustin,"Ins/rep mul pul gn,rechg",253-66-1849,68.74
64735-020,Dominica Licari,Ins or rep cement spacer,252-16-2765,32.07
47682-229,Goldie Matthessen,Exc ectopic breast tissu,416-88-7768,80.32
69219-102,Wenonah Marusic,Other gu system exams,648-33-0424,56.40
42192-129,Edythe MacKeeg,Nonmag remov ant seg FB,304-84-9388,74.79
12090-0061,Vanya Rowles,Breast pedicle graft,863-84-5190,37.79
62257-770,Gibbie Feather,Lap gastric restric proc,865-84-2505,52.02
0268-0803,Mitch Pawle,Omt to move tissue fluid,248-73-2391,85.84
0642-0204,Teddi Lewsley,Eye examination NOS,684-95-6531,78.34
63629-5073,Charo Farquhar,Hypo-epispadius repair,792-64-2189,95.58
52125-434,Tamqrah Landman,Imageless comp asst surg,232-07-2536,43.09
10889-106,Christoforo Slatcher,Limited eye examination,295-30-3026,64.96
43063-121,Sawyer Boothroyd,Creat peritoneovas shunt,488-89-2418,3.22
44224-0006,Becky Caton,Biliary tract x-ray NEC,641-98-2110,8.45
10812-168,Filia Burnhill,Keratoprosthesis,447-65-8144,50.11
0781-1034,Darb Clutterham,Body measurement,404-69-5202,24.61
53808-0261,Skelly Bartholat,Manual reduc rect prolap,698-51-8058,21.36
49643-420,Dall Imlock,Nebulizer therapy,389-17-7871,23.43
62654-313,Mike Dimanche,Repair of macrodactyly,128-89-4139,26.41
55154-5367,Josefina Swannie,Heart septa repair NOS,230-33-9352,6.84
42783-312,Alix Gonthier,Dx ultrasound-digestive,709-54-6187,30.78
51672-4045,Homer Gaskoin,Cataract extraction NEC,456-40-5542,61.06
10096-0261,Steffane Arnaudi,Perianal biopsy,788-90-0734,85.17
68084-599,Berry Levinge,Parasitology-musculoskel,222-17-0925,63.51
24208-615,Laetitia Coughan,Nonmag remov post seg FB,890-41-7273,39.41
64942-1270,Jorge Karczinski,Local lg bowel perfusion,749-15-4750,45.37
48951-2076,Carlyn Libermore,Endosc retro cholangio,246-77-4056,50.24
76270-150,Gordon Welfair,Total body scan,788-54-0144,90.38
68016-353,Sasha Streatley,Elbow arthroscopy,753-76-7032,19.49
61941-0022,Wilmette Houlton,Bone division NEC,718-11-7924,40.35
50629-1010,Cindelyn Barr,Remove imp dev-metat/tar,254-96-5561,97.30
54868-4229,Iver Vanyarkin,Decompress trigem root,784-74-7294,97.06
60505-1308,Reena Ellcock,Radius/ulna inj op NOS,673-10-2629,70.39
10237-833,Audrie Martinek,Limb length proc-femur,133-39-8867,31.25
59469-171,Tanney Hauxley,Stereo radiosurgery NOS,180-21-9227,54.86
53746-206,Egbert Bulcroft,Replace ventricle shunt,664-74-1151,39.99
65342-1001,Donica Ceschini,Open lung biopsy,231-17-2619,84.00
42388-014,Emlynn Dowsey,Bile duct incision NEC,429-08-9009,15.13
22700-131,Regan Marlon,Breast implant removal,622-27-9325,70.79
58177-679,Ortensia Pizer,Chorioret les rad implan,466-88-6790,25.79
58370-3001,Daryle Lytlle,Conjunc/lid adhesiolysis,704-38-6771,96.07
36800-189,Mikael Stops,Dressing of wound NEC,592-68-7538,75.11
43406-0028,Flo Hordle,Eyeball evisceration NEC,784-68-4103,1.21
0054-8175,Verney Stut,Other myectomy,370-14-2380,39.81
66336-479,Tabor Glewe,Loc exc les metatar/tar,428-41-4939,90.61
60505-2584,Queenie Schruur,Lap wedge resect ovary,558-28-3557,12.02
0615-6561,Lavena Rushman,Biliary tract op NEC,631-72-0656,32.67
16590-057,Jillane Thewles,Parasitology NEC,701-18-6421,38.96
0603-1075,Way Ravens,Opn bi dr ing hrn-gr NEC,157-99-1695,56.57
0264-9341,Elsey Wimp,Remov biliary/liver tube,442-03-4050,77.30
63824-335,Dana Gilson,Limb shorten-metacar/car,241-93-2783,73.08
68788-9873,Colver Stollenwerck,Renal operation NEC,304-54-8582,36.68
68462-556,Brandon Martinelli,Electromyogram of eye,178-30-2402,91.01
76351-100,Galven O'Fielly,Myotomy of colon NEC,345-37-4381,64.92
21695-830,Imojean Dillingston,Endosc destr pancrea les,584-32-1896,20.23
0555-1883,Maurene Moogan,Micro exam-musculosk NEC,769-11-4655,2.50
60561-0001,Onida Droogan,Part breech extract NEC,174-46-2709,30.19
65585-497,Rubi Presnell,Replace wound pack/drain,304-63-9531,67.11
59779-276,Angelo Sutlieff,Removal fb/dev from skin,513-16-1855,20.06
68382-156,Raeann Danick,Arth/pros rem wo rep-elb,495-92-9931,69.30
60344-7001,Ulberto Hardesty,Tot gast w intes interpo,223-14-6671,64.10
43526-111,Verile Cubbino,Wrist structure division,247-48-4543,39.35
53329-082,Caspar Vagges,Endocrine dx proc NEC,190-94-2655,70.75
49035-732,Erwin Evreux,Contrast phlebogram-leg,713-38-5843,88.87
43857-0251,Christophe Seamon,Metatarsophalangeal fus,528-93-4731,26.69
60760-280,Chicky Dumbrill,Cardiac stress test NEC,446-65-0603,51.49
62670-4369,Joletta McDavitt,Remov intralum colon FB,856-46-9860,79.42
58414-8712,Jean Klaves,Resect ext seg sm bowel,355-96-8902,62.74
30142-414,Fields Worster,Other chest wall repair,498-87-2609,52.97
58503-057,Anya Kinch,Abdominal endarterectomy,562-73-9516,11.39
25373-002,Freeman Lawrinson,Exposure of tooth,273-64-6828,12.08
65044-3362,Robbin Gladwin,Oth arthrotomy-hand/fngr,737-23-3375,96.97
12546-114,Aldwin St Leger,Thorac esophagocolos NEC,634-84-2943,54.48
0093-7473,Whitney Blancowe,Pectus deformity repair,481-10-6697,80.99
0172-3926,Garvey Masic,Lap rem gast restric dev,862-71-6560,86.21
0363-3450,Fern Sillick,Eye evisc w synch implan,818-83-5732,40.24
46708-128,Roby Bergeau,"LITT lesn, guide oth/NOS",708-36-4364,47.24
60681-1244,Letitia Hanley,Gastric lavage,503-42-1607,76.50
0173-0933,Nichols Comerford,Scrotal les destruction,413-43-0540,60.02
16714-202,Harley Yitzhok,After-cataract excision,560-39-8106,61.77
67172-015,Sidoney Holley,Applic ext fix-humerus,443-25-1775,68.90
50474-932,Madonna Caulfield,Disarticulation of ankle,864-70-3186,5.58
66975-415,Tony Folomin,Brief interview & evalua,113-71-3115,51.76
51009-001,Tadeo Youell,Imp bivn ext hrt ast sys,616-85-6646,42.48
0591-3759,Enrique Jays,Retroperitoneal xray NEC,582-07-0008,88.15
76485-1017,Verina I'anson,Radius & ulna sequestrec,551-19-2020,47.69
0268-1204,Selena Lilion,Dental examination,556-13-2853,23.87
0187-5600,Dulcy Greer,Suture gastric lacerat,856-57-5028,81.15
59088-816,Donavon MacCafferty,Hymenorrhaphy,654-76-0776,36.44
10370-302,Coriss Kettles,2nd op post eye rem NEC,849-77-3124,82.97
13811-662,Maximilian Cyson,Achillotenotomy,383-01-8317,74.28
60793-606,Rosina Segebrecht,Lap lys perivesureth adh,727-62-3416,1.08
14783-604,Renate Bellay,Elbow structure division,347-36-9247,35.40
36987-1062,Sheryl Dugdale,Intestinal fixation NOS,133-28-7401,76.24
65585-577,Kriste McAless,Open brain biopsy,197-06-6975,38.03
21695-705,Lucais Sugar,Mastoidectomy NEC,787-50-4089,62.17
50458-817,Wernher Pollen,Other craniectomy,782-63-9511,4.72
63874-201,Merridie Roland,Dental restoration NEC,137-87-5072,57.85
10812-285,Marietta Flatte,Refus lmb/lmbsac ant/ant,309-64-9200,17.61
41167-0176,Dell Sakins,Hearing examination NOS,813-11-8394,81.93
0363-0633,Dill Lower,Limb lengthn-metatar/tar,413-14-5644,8.42
68428-068,Luce Linskill,Contrast bronchogram NEC,102-19-3549,29.85
65044-5265,Madalena Brewers,Humerus injury op NOS,394-11-0804,17.63
66077-773,Edita Wheatland,Rhinoplasty NEC,286-13-9810,42.03
57520-0464,Egan Payn,Unilat reduct mammoplast,830-86-6017,91.22
43353-620,Llewellyn Sheward,Cl reduc disloc-ankle,340-29-3660,66.50
55319-163,Diannne Kalisz,"Resrf hip,total-acet/fem",376-24-5957,27.13
99207-467,Bobbe Duncombe,Robotic ast proc NEC/NOS,863-63-3964,30.30
49349-497,Rachel Stoggell,Opn red-sep epiphy-humer,646-81-1564,33.33
68428-161,Haily Sunter,Sequestrectomy NOS,642-56-9330,24.50
14783-301,Quentin Naile,Skeletal series x-ray,127-60-1074,78.03
58668-3251,Orel Bickerdyke,Nonexcis debridement wnd,112-52-9925,25.64
10237-900,Merralee Alpin,Gb-to-hepat duct anast,898-41-2112,24.96
0006-5424,Baldwin Vecard,Intracran vessel incis,562-70-4397,74.26
68084-533,Darcy Donegan,Ext version-assist deliv,737-39-6222,16.44
21695-082,Nissa Swannell,Urethral pressure profil,342-50-0082,49.25
65864-001,Jeno Aubray,Closure of mouth fistula,568-88-4542,28.60
62670-4803,Evanne Dimelow,Opn/oth repl tcspd valve,736-05-3264,53.19
0187-2614,Juditha Argent,Exploratory thoracotomy,768-48-0079,53.38
54868-3801,Amery Clohissy,Conjunctivorhinos w tube,530-55-8522,15.79
43857-0284,Zena Jurkiewicz,Opn abdperneal resc rec,107-49-1675,50.50
59427-703,Park Stapleton,Removal vas ligature,579-90-0520,61.60
0703-4248,Jackelyn Muldowney,Prenatal training,825-72-0258,23.20
56153-003,Jackson Wilde,Contrast arteriogram NOS,121-26-6679,19.79
57664-368,Sheeree Penney,Lung operation NEC,311-03-0220,98.45
0536-3467,Madge Gerrish,Stapes mobilization,121-19-9089,55.47
67718-963,Beatrisa Chastney,"TRAM flap, free",436-03-2911,56.98
13811-050,Cesya Kleinsmuntz,Radioisot teleradiother,258-79-8589,57.72
47202-1402,Cesaro Gilbane,Portal contr phlebogram,854-33-4422,64.08
68428-071,Perceval Berkeley,Insert synth graft/prost,164-09-4563,68.14
65862-034,Jodi Devonshire,Rad neck dissection NOS,795-65-2132,7.56
51389-109,Ezra Ansty,Imp/repl peri stim lead,353-36-6333,84.62
53808-0375,Romain Collingdon,Micro exam-blood NEC,580-36-0775,77.23
53675-155,Lanette De la Zenne,Retinal tear repair NEC,343-21-1884,17.67
63323-353,Valle Worgen,Rem brain pulse generatr,593-49-3867,43.27
0904-5180,Rikki Stuckford,Replace ureterost tube,279-94-3449,54.29
54305-489,Leeland Gimenez,Mri of brain & brainstem,299-68-8801,89.17
68151-3120,Catherina Cake,Removal FB spinal canal,559-37-5623,94.13
51655-290,Elfie Euesden,Endometrial ablation,661-75-6895,62.89
47781-205,Danni Gritten,Upper arm reattachment,800-30-0476,69.40
0093-2026,Clarissa Jaggar,Puncture of spleen,652-24-4792,26.27
75847-1708,Cora Lay,Inser breast tissu expan,703-18-9363,96.35
62257-639,Ainslee Issit,Micro exam NEC,209-48-4310,44.91
37012-516,Ellwood Servante,Reduction anal prolapse,300-54-3643,80.95
54632-001,Uriel Iscowitz,Activ musculosk exer NEC,493-86-2624,2.40
57520-0444,Constantina Uttley,Destruct-hip lesion NEC,814-81-0102,25.22
49230-194,Jolene Carruth,Brain repair,155-14-2473,35.93
0173-0681,Claude Ellerman,Bone graft to patella,654-66-5080,20.20
64679-631,Merrile Huxster,Suture penile laceration,538-96-0161,7.77
0615-0676,Hetti Clinkard,Incision of aorta,621-75-1694,68.05
62032-121,Deonne Minthorpe,Hand tend pulley reconst,670-25-5142,83.46
15127-325,Giovanna O'Gaven,Ocular prosthetics,223-33-8410,53.24
24658-301,Roger Holligan,Arthrodesis NEC,834-63-1397,42.48
52125-696,Cymbre Pursglove,Facial bone reconstr NEC,631-63-8988,7.63
36987-3279,Aime Wrotchford,Incis salivary glnd/duct,549-47-1023,5.76
52257-1100,Devon Galero,Rad excis ext ear les,862-21-7905,36.38
54575-209,Freddi Lambswood,Adm inhal nitric oxide,481-11-3131,81.39
62802-104,Opalina Heigold,Refus oth cerv post/post,828-38-5333,5.97
0268-1116,Dick Sykora,Repair ob lac rect/anus,272-94-9696,91.02
49288-0161,Gilli Tomsett,Suture tendn sheath hand,437-45-5274,59.10
11822-0444,Kerry Pellissier,Cl reduc disloc-hand/fng,784-27-0420,27.84
55315-211,Doyle MacGall,Remov intralum pharyn FB,307-05-9457,35.59
60000-491,Allyce Pickwell,Periph ganglionect NEC,682-71-3579,84.10
67296-0537,Casar Paskins,Goniosynechiae lysis,147-01-8485,17.33
62032-525,Guy Scardifeild,Infus drotrecogin alfa,228-58-1291,53.75
65044-2294,Cheslie Bidder,Liver repair NEC,370-37-6221,15.15
49349-259,Uriah Di Maria,Contrast laryngogram,827-30-8833,20.51
52125-517,Sallie Spiaggia,Cell block/pap-lowr resp,434-85-4633,66.68
32909-764,Adaline Grewcock,Exc maj les lid ful-thic,795-71-3463,33.77
54416-004,Darwin Klimpke,Remove both testes,313-74-5786,7.16
61601-1176,Bevin O'Gormally,Thoracic spine x-ray NEC,353-85-4892,59.70
11084-064,Bertie Dei,Other tenodesis of hand,797-77-3542,45.16
0781-2201,Tracie Ainscough,Cardiotomy,629-66-4925,13.49
24385-305,Ellyn Manlow,Incis rectal stricture,449-51-4672,18.19
58411-105,Stevana Ploughwright,Correct ureteropelv junc,716-16-1617,49.00
47682-237,Arlana Romke,Simpl suture fallop tube,449-56-3575,89.87
55154-2022,Kaile Bricham,Thorac esophag anast NEC,110-66-0837,88.25
50436-9103,Mischa Sleaford,Auto bone mt w/o purg,464-25-6360,98.77
0536-3405,Courtney Stanger,Fit arm prosthesis NOS,218-31-4377,90.27
0409-5921,Grenville Ruecastle,"Mri pelvis,prostate,blad",673-60-3609,58.63
36987-1621,Erhart Elcy,Other glossotomy,760-04-6762,68.65
63323-377,Thedrick Mostyn,Post catarac frag/aspir,556-80-6010,61.98
53489-649,Debbi Soares,Open biopsy nasal sinus,116-14-5534,1.02
57520-0005,Jarret Moxsom,Intravenous pyelogram,227-40-0144,7.53
68382-156,El Chichgar,Opn abd diaphrm hern NEC,345-15-6970,40.57
0641-6118,Zilvia Skeemer,Tonsil&adenoid biopsy,460-64-2528,0.12
0781-6169,Violetta D'Alessandro,Tot exc pituit-transfron,369-88-8666,30.58
30142-700,Darla Laugier,Free skin graft NOS,138-65-9929,89.16
61919-371,My McKoy,Enterostomy NEC,872-48-2649,44.55
45802-717,Demott Phorsby,Percutan renal aspirat,132-89-1104,77.39
49999-789,Rosalinda Della,Visual evoked potential,248-24-1566,92.63
53329-664,Torrin Olohan,Lap biopsy of ovary,449-63-3511,25.47
63629-1339,Antonin Gettone,Loc exc les radius/ulna,634-01-8580,15.72
21130-390,Bonnibelle Blindermann,High gastric bypass,621-27-1436,32.13
42799-403,Elinore Simpkin,Catarac phacoemuls/aspir,547-84-3336,43.94
0085-4353,Shannan Esson,Opn reduc disloc-hand,669-57-5967,67.40
43269-632,Terri Liverseege,Parasitology NEC,881-77-9434,82.25
49726-032,Carlynne O'Gorman,Conduit rt vent-pul art,740-04-2354,51.23
63739-284,Nicolea Biskupski,Endotracheal bronchogram,745-81-3519,95.95
55289-214,Son Dolby,Hand tendon reattachment,100-61-9001,1.60
67046-333,Rollie Playhill,Destruct larynx les NEC,159-53-5512,86.45
48951-8078,Agustin Tudbald,Penile diagnost proc NEC,368-54-6312,73.15
63691-013,Almeria Philo,Other vaginal dilation,114-04-6558,17.18
34690-7001,Marlin Tampion,Inf liquid brachy isotop,584-34-4492,63.78
52773-242,Ferdy Butts,Oth exc/dest intvrt disc,393-19-0364,76.10
76025-100,Melisande Marciek,Peritoneal suture,810-86-0966,3.63
58668-2281,Becca Giraudou,Eye enuc w implant NEC,612-51-5248,51.82
21695-005,Camila George,Remov intralum pharyn FB,315-61-3277,28.54
53807-531,Ahmad Jaeggi,Magnet remov ant seg FB,547-28-0212,65.53
30142-009,Jeannette Christopher,Anal sphincterotomy NEC,180-33-0402,44.55
0904-1055,Gard Buttler,Lysis cortical adhesion,837-52-9392,59.89
0832-0230,Roley Oseman,Pharyngeal dilation,291-65-3200,29.15
68391-141,Shanie Bastard,Venous puncture NEC,120-80-8933,85.97
65912-436,Allayne Raspison,Carporadial fusion,737-33-3906,20.86
43269-848,Angus Gregh,Cell blk/pap-integument,734-37-9462,87.82
54569-0392,Israel Billows,Extraperitoneal c-sect,711-99-8857,68.61
68788-9490,Hedwiga Osborne,Replace nephrostomy tube,589-01-0284,35.32
11410-904,Olav Sellan,Iontophoresis,678-33-0081,39.98
0904-6174,Veronique Renwick,Cell blk/pap-op wound,352-42-3451,27.00
0179-1435,Prudence Kennagh,Subtotal mastectomy,260-06-2294,48.54
65923-132,Sella Millam,Rep scler staphyloma NEC,285-63-2722,44.50
54868-0016,Sheena Mongin,Crisis intervention,672-45-0637,44.97
57955-5205,Wiley Ackerley,Suture entropion repair,751-02-0184,4.56
52686-261,Selle Broxholme,Scleral operation NEC,380-69-7231,68.46
33261-087,Cointon Andover,Inject tendon of hand,617-35-7485,31.25
0591-1118,Jamison Nussii,Replace ureteral stimul,742-65-6324,34.01
0121-0727,Yorgo Sainter,Tot ostectomy-femur,232-94-9020,60.80
16571-101,Guthrey Bridgstock,Excise patella for graft,490-24-4073,9.78
49288-0471,Vachel Geockle,Bile duct incision NEC,425-60-3851,79.92
53113-263,Rodolphe McAline,Finger injury op NOS,503-99-8447,3.43
62541-303,Leodora Pilcher,Larynx cyst marsupializ,263-34-1061,14.43
55319-678,April Shwalbe,Implant CCM pulse genrtr,688-97-9117,31.70
36800-843,Britney Laurenty,Adrenal incision,617-05-0046,44.19
61722-184,Rosalie Jammes,Cerebral scan,123-53-2926,26.30
17089-242,Teodoro Labrenz,Enlarge existing sep def,702-53-2339,85.10
62382-0308,Igor Callway,Excis tonsil/adenoid les,330-35-7436,24.93
0085-0962,Quinta Sherer,Proctoclysis,574-79-6045,4.73
55714-2278,Nannie Kummerlowe,App ext fix dev-ring sys,859-36-6970,48.79
63187-074,Glenden Dumphry,Endarterectomy NOS,299-04-0507,20.47
35356-092,Dannie Dunston,Augmentation rhinoplasty,350-28-5241,23.39
52731-7019,Christiana Newdick,Open rectal biopsy,213-32-5053,95.72
55138-005,Maurie McKelvie,Arth/pros rem wo rep-hip,364-97-7374,33.42
64679-740,Gale Thorneloe,Sphinct of oddi measure,727-74-0212,37.97
52371-100,Talia McEniry,Bact smear-upper urinary,502-47-5136,30.12
54868-3698,Bobbi Hessay,Tuberculosis vaccination,707-38-7230,86.52
0409-2306,Town Collingwood,Bact smear-upper urinary,190-71-4975,48.24
41520-979,Hannie Clausen,Ureteral anastomosis NEC,826-58-1984,21.44
65862-038,Alastair Glenny,Excision intervert disc,874-55-7605,91.41
59779-055,Randall Raselles,Int inser lead in atrium,437-86-6782,21.10
66184-528,Malchy Murfett,Arthroplas metacarp wit,818-20-5401,77.71
56062-478,Rivkah Kilroy,Repair of hammer toe,491-43-8430,60.11
50580-506,Devora Legen,Thorac total exc thymus,632-17-3452,32.91
43742-0018,Jerrylee Olver,Rep anuls fibros NEC/NOS,177-43-9670,42.87
50458-192,Maurise Harbach,"Endo emb hd/nk,bare coil",238-41-6238,69.88
0043-0461,Melesa Jowling,Auto bone mt w/o purg,325-43-3673,33.67
61919-533,Faunie Andreix,Perianal biopsy,584-16-4261,8.60
54092-063,Harris Clemenzi,Perianal biopsy,662-28-2689,53.11
35356-011,Rozina Tomkins,Insert valve in vas def,246-95-1842,83.63
68382-398,Harwell Basill,Lap rev gast restri proc,238-73-8934,4.43
49348-753,Arv Jagger,Laparoscopic cecectomy,615-65-9971,92.73
0179-1838,Edithe Ainsbury,Bact smear-female genit,692-74-9674,65.17
49781-046,Robby Colqueran,Inject anticoagulant,416-40-3147,43.04
57520-0261,Gerda Niaves,Lap adhesiolys ova/tube,736-92-9996,79.51
55390-565,Aubert Howson,Thoracospc pneumonectomy,223-75-9401,6.22
0206-2416,Nicolai Yate,Apicoectomy,891-55-1700,44.00
45014-150,Margarete Dougher,Prosthetic evaluation,622-15-3501,70.17
47219-251,Bentley McKee,Clos red-int fix humerus,445-02-6256,5.79
55154-5730,Katharine Mithan,Excision tunica les NEC,108-84-6278,43.06
0185-0064,Myrtia Dowbakin,Suture of tracheal lacer,556-19-7970,3.13
55316-535,Ann-marie Tales,Limited eye examination,510-54-6733,34.05
57237-035,Alison Hambidge,Symbleph rep w free grft,817-62-1392,28.41
11489-066,Bertrand Willcott,Ethmoidectomy,716-33-9769,42.84
0071-1020,Dorolisa Simonnot,Vaginal obliteration,104-94-6871,89.40
49643-382,Stanislaw Jatczak,Opn hern ant abd-grf NEC,831-55-8987,27.47
0517-2650,Keen Shakesbye,Incis vulva/perineum NEC,601-13-2256,95.08
54868-4750,Filmer Folling,Remov ureteral drain,268-22-5207,98.94
53663-0001,Annalee Barefoot,Stern interposition NEC,627-14-8119,58.63
68788-9546,Hally Maxwaile,Nasal lesion excis NOS,878-27-8989,31.71
68180-202,Sheelagh Stork,Oral cavity dx proc NEC,431-05-7126,5.48
43538-171,Vinny MacPaik,Oth dx proced-patella,342-13-9047,46.11
60429-766,Brenn Inwood,IV infusion clofarabine,593-65-2257,4.55
36987-2911,Lebbie Brumham,Subtotal mastectomy,755-77-3478,27.75
0113-0994,Quill Silson,Alveoloplasty,577-22-8553,19.71
37000-272,Waverly Youd,Cervical les cryotherapy,818-06-5974,56.14
31190-500,Darbee Dewsnap,Lap periton adhesiolysis,617-04-5769,47.11
49349-842,Harp Romei,Ovarian cyst marsupializ,225-27-5389,32.88
58411-219,Brucie Benley,Partial glossectomy,408-89-4497,22.91
49781-100,Kristien Cohn,Isolation,883-80-5470,12.94
0065-0660,Felipe Reap,Duodenal incision,878-30-9844,53.58
57660-001,Bastien Seely,Fit up arm/should prosth,194-27-7551,10.81
55714-4532,Keriann Robrow,Patellar wedge osteotomy,102-75-9754,35.88
0440-1771,Edeline Fortescue,Contrast arteriogram NOS,150-25-1730,81.74
51645-601,Valene Ellings,Mix venous bld gas meas,518-64-3357,92.22
0536-1023,Marna Connealy,Control prostate hemorr,334-35-7416,36.67
61715-069,Susan Spadoni,Lower lid rhytidectomy,134-35-9267,78.50
57520-0484,Diane-marie Bisseker,Autopsy,399-32-7086,37.92
16781-376,Celene Ocheltree,Rev jt repl upper extrem,499-39-5126,81.95
42291-750,Wright Sexti,Tendon excision for grft,438-30-1902,21.09
43353-367,Myer Cicco,Suture of vein,545-80-9150,86.86
60846-804,Wadsworth Swafield,Radioisot teleradiother,680-93-1781,25.38
60505-2664,Weider Carlill,Excision eye lesion NOS,730-86-6198,88.72
65585-509,Korrie Devoy,Hemorrhoid ligation,201-86-5273,49.33
55910-190,Lonna Ickowicz,Adrenal lesion excision,583-75-2896,9.73
36987-3157,Oriana Benini,Rt & lt heart angiocard,407-54-2015,19.76
61481-0020,Alyssa Volleth,Endomet synechiae divis,385-91-6167,9.04
36987-2555,Eleanor Tawton,Opn rt hemicolectomy NEC,534-43-8137,77.61
76237-145,Gracia Spurgin,Liver repair NEC,264-02-0748,4.64
55154-6971,Errol Howe,Bact smear-lower urinary,269-29-8374,78.34
42291-377,Carrissa Lyne,Gastrostomy closure,681-16-8345,75.59
0173-0739,Gothart Juarez,Breast implant revision,525-77-2011,93.81
67457-423,Allegra Haymes,Cervical spine x-ray NEC,537-70-0673,44.39
43742-0001,Samara Casella,Aspiration of testes,851-97-8519,14.76
37205-733,Tudor Olyfant,Nasal sinus repair NEC,169-79-3044,83.13
76439-343,Rudolfo Kilfedder,Scarification of pleura,519-76-9304,5.95
59854-299,Berti Dinsale,Remove dental prosthesis,127-58-5811,88.38
48951-8021,Eulalie Ilyin,Toxicology-lymph system,125-84-6538,9.66
65862-207,Barbette Aucott,Rectal resection NEC,684-26-3292,58.00
54340-179,Kally Waller-Bridge,Vacuum ext del w episiot,458-49-6081,27.74
50458-550,Tabbi Auletta,Close appendiceal fistul,744-05-4341,52.68
68001-242,Waldo Goldes,Breast tissu destruc NOS,606-04-4173,97.44
41250-763,Reider Walsham,Repair ob lac rect/anus,286-17-2280,74.87
58118-0125,Blinny McWilliams,Pnemothorax-lung collaps,433-97-4841,55.81
66116-407,Doro Angrick,Limb shorten proc NEC,502-58-0351,38.59
61543-1545,Emmit Huddleston,Contrast dacryocystogram,656-10-1894,1.40
0074-3459,Vincenz Blasius,Unilat adrenal explorat,650-62-2415,64.40
0574-0120,Trstram Cuttelar,Inc soft tissue hand NEC,196-46-1089,80.44
66184-405,Edie Riceards,Other destruc bronc les,885-08-6423,91.64
36987-2610,August Lankester,Drsl/dslmb fus post/post,392-43-8707,93.04
49781-063,Nickola Lowres,Revision of lead,510-29-2934,70.62
49288-0072,Javier Syce,Midtarsal fusion,655-50-6660,93.23
49973-301,Devin Clewarth,Incis lymphatic structur,158-39-9422,70.72
55714-2305,Deck Adshad,Nasal fistula closure,463-29-2298,69.19
67510-0667,Thorvald Norvill,Punctum repair NEC,435-87-6814,31.94
51655-000,Jodie Bartlomiej,Suture of saliv glnd lac,224-06-7546,29.77
52685-191,Hesther Bickerstaffe,Brain lobectomy,629-07-5841,1.10
36987-2595,Silvanus McNeil,Excision of hip NEC,728-81-2345,55.38
